ID,Lake,Elevation,Latitude,Longitude,Area,Depth,Sampling.events,Sampling.years
1,Kitlope,9.128296,53.11147,-127.78257,11869298.19,185.2,7,2
10,Cultus,45.135944,49.05395,-121.98548,6356157.406,41.8,1,1
100,Heather Lake,1915.231201,51.04766889,-118.1424931,1545.37019,0.5,4,2
1000,LM03,1305.634399,46.947332,-121.879155,3916.512088,1,1,1
1001,LF12,1738.478394,46.913041,-121.754549,19327.50782,3.5,2,1
1002,Anderson,1270.323242,47.60178,-121.48414,8667.205705,4.9,1,1
1004,ML4,1576.713745,48.56318,-120.95962,33256.00494,6.4,2,2
1005,Eleanor,1518.245605,46.99053,-121.657296,69544.57499,16,3,1
1006,PM3,1608.591675,48.83673,-121.1025,43255.05179,5.5,3,3
1007,LW24,1695.822144,46.923079,-121.583445,2641.632135,3.8,2,1
1008,HM4,870.373962,48.943931,-121.005742,68255.15586,8,2,2
1009,MC21-2,1517.643188,48.89811,-121.36771,14628.37305,3,1,1
101,R14 Pond,1934.598389,51.08221729,-117.9771175,15569.27082,9,2,1
1010,Shadow,1888.552124,46.911112,-121.65713,8888.302969,5,2,1
1011,LP12,1791.54834,46.832339,-121.8632,14923.28852,1,3,2
1012,MP8,1566.597168,48.78649,-121.20365,6379.115337,3.7,1,1
1013,Bandana,980.811829,48.185938,-121.771522,9909.676278,6.1,1,1
1015,MC2,1794.93103,48.75953,-121.49954,10303.35017,11,1,1
1016,FP4,1623.890747,48.555724,-121.078621,280308.5946,33,1,1
1017,LM48,1607.898071,46.87912,-121.89907,95.023138,1,1,1
1018,HM2,861.37262,48.960024,-121.03525,393191.4584,19,2,2
102,R13 Pond,1992.508179,51.07466169,-117.9773295,15162.7566,12,2,1
1020,LP23,1455.957886,46.798128,-121.915847,644.213236,1.2,1,1
1021,MC21-1,1520.432007,48.8969,-121.37036,14563.35478,5,1,1
1022,M7,1361.818359,48.70706,-121.47766,29328.13795,11,1,1
1023,LW44,1812.985352,46.889796,-121.701429,890.659497,0.5,1,1
1024,Clover,1749.439087,46.928656,-121.594153,28961.33616,14.2,18,1
1025,MC6,1604.291016,48.918206,-121.449591,52226.6672,21.3,1,1
1027,PM1,1174.165039,48.85028,-121.11297,28849.48071,9.1,1,1
1028,Allen,1397.668945,46.765081,-121.892679,17820.24056,7.2,2,1
103,R17 Pond,2186.568604,51.11615538,-118.0057506,7786.840379,4,2,1
1031,LW40,1337.335815,46.873197,-121.541506,10356.31427,5.2,22,2
1032,MC17-1,1754.230835,48.884665,-121.368191,38145.95998,13.1,3,2
1033,LH19,1687.155884,46.937601,-121.621611,1376.751722,1,1,1
1034,LN09,1631.571655,46.793917,-121.83987,1100.892235,1.2,1,1
1035,Eunice2,1631.636353,46.955196,-121.877671,54551.09239,20,13,5
1036,Crescent,1696.389893,46.952363,-121.768404,70463.57149,29,2,1
1037,Upper Hayes,1456.95166,48.857346,-121.720143,50005.99201,11.7,1,1
1038,LC13,1698.435181,46.936885,-121.835067,5954.913629,1,3,3
1039,LW23,1787.501221,46.924725,-121.595754,592.969157,0.5,1,1
104,R18 Pond,2194.443359,51.11917893,-118.0065593,9289.347159,8,2,1
1040,Greenridge,1170.085083,47.539835,-121.450648,56629.22578,16.2,1,1
1041,FP7,1376.02832,48.526471,-121.083801,330803.5279,33,1,1
1042,MC12,1765.302246,48.944687,-121.310553,101610.8154,46.3,1,1
1043,M23,1482.353394,48.557037,-121.279225,115706.4914,37.2,2,2
1044,M20,1366.654541,48.684315,-121.326708,223079.6227,33,2,2
