Sp,Taxa,Level,Order,Length,Length.ref,Length.taxa,Feed.ord,Full
Acroperus.harpae,Acroperus harpae,Species,Cladocera/Anomopoda,0.95,Hébert.2016; CIEE.2012,Acroperus harpae,1,"Acroperus harpae (Baird, 1834)"
Alona,Alona,Genus,Cladocera/Anomopoda,0.43,Genus mean ,Genus mean,1,"Alona (Baird, 1843)"
Alona.affinis,Alona affinis,Species,Cladocera/Anomopoda,0.6,Hébert.2016; CIEE.2012,Alona affinis,1,"Alona affinis (Leydig, 1860)"
Alona.circumfimbriata,Alona circumfimbriata,Species,Cladocera/Anomopoda,0.4,Balcer.1984,Alona circumfimbriata,1,"Alona circumfimbriata (Megard, 1967)"
Alona.costata,Alona costata,Species,Cladocera/Anomopoda,0.45,MacLennan.2015,Alona costata,1,"Alona costata (Sars, 1862)"
Alona.guttata,Alona guttata,Species,Cladocera/Anomopoda,0.33,MacLennan.2015,Alona guttata,1,"Alona guttata (Sars, 1862)"
Alona.intermedia,Alona intermedia,Species,Cladocera/Anomopoda,0.36,MacLennan.2015,Alona intermedia,1,"Alona intermedia (Sars, 1862)"
Alona.quadrangularis,Alona quadrangularis,Species,Cladocera/Anomopoda,0.43,Hébert.2016; CIEE.2012,Alona quadrangularis,1,"Alona quadrangularis (Müller, 1776)"
Alonella.excisa,Alonella excisa,Species,Cladocera/Anomopoda,0.3,MacLennan.2015,Alonella excisa,1,"Alonella excisa (Fischer, 1854)"
Alonella.exigua,Alonella exigua,Species,Cladocera/Anomopoda,0.35,Edmondson.1959,Alonella exigua,1,"Alonella exigua (Lilljeborg, 1853)"
Alonella.nana,Alonella nana,Species,Cladocera/Anomopoda,0.28,Edmondson.1959,Anonella nana,1,"Alonella nana (Baird, 1843)"
Camptocercus.rectirostris,Camptocercus rectirostris,Species,Cladocera/Anomopoda,1,Edmondson.1959,Camptocercus rectirostris,1,"Camptocercus rectirostris (Schödler, 1862)"
Chydorus,Chydorus,Genus,Cladocera/Anomopoda,0.44,Genus mean ,Genus mean,1,"Chydorus (Leach, 1816)"
Chydorus.ovalis,Chydorus ovalis,Species,Cladocera/Anomopoda,0.5,Edmondson.1959,Chydorus ovalis,1,"Chydorus ovalis (Kurz, 1875)"
Chydorus.sphaericus,Chydorus sphaericus,Species,Cladocera/Anomopoda,0.37,MacLennen.2015,Chydorus sphaericus,1,"Chydorus sphaericus (Müller, 1776)"
Coronatella.rectangula,Coronatella rectangula,Species,Cladocera/Anomopoda,0.22,MacLennan.2015,Alona rectangula,1,"Coronatella rectangula (Sars, 1862)"
Disparalona.hamata,Disparalona hamata,Species,Cladocera/Anomopoda,0.63,Neretina.2018; Birge.1879,Disparalona hamata,1,"Disparalona hamata (Birge, 1879)"
Disparalona.leei,Disparalona leei,Species,Cladocera/Anomopoda,0.46,Neretina.2018; Shing-Ming.1970,Disparalona leei,1,"Disparalona leei (Chien Shing-ming, 1970)"
Disparalona.rostrata,Disparalona rostrata,Species,Cladocera/Anomopoda,0.52,Neretina.2018; Koch.1841,Disparalona rostrata,1,"Disparalona rostrata (Koch, 1841)"
Drepanothrix.dentata,Drepanothrix dentata,Species,Cladocera/Anomopoda,0.7,Edmondson.1959,Drepanothrix dentata,1,"Drepanothrix dentata (Eurén, 1861)"
Eurycercus.lamellatus,Eurycercus lamellatus,Species,Cladocera/Anomopoda,2.7,Hébert.2016; Lynch.1980,Eurycercus lamellatus,1,"Eurycercus lamellatus (Müller, 1776)"
Graptoleberis.testudinaria,Graptoleberis testudinaria,Species,Cladocera/Anomopoda,0.6,Edmondson.1959,Graptoleberis testudinaria,1,"Graptoleberis testudinaria (Fischer, 1851)"
Ilyocryptus.spinifer,Ilyocryptus spinifer,Species,Cladocera/Anomopoda,0.8,Edmondson.1959,Ilyocryptus spinifer,1,"Ilyocryptus spinifer (Herrick, 1882)"
Kurzia.latissima,Kurzia latissima,Species,Cladocera/Anomopoda,0.5,Edmondson.1959,Kurzia latissima,1,"Kurzia latissima (Kurz, 1875)"
Leydigia.leydigi,Leydigia leydigi,Species,Cladocera/Anomopoda,0.75,Hébert.2016; CIEE.2012,Leydigia leydigi,1,"Leydigia leydigi (Schödler, 1863)"
Macrothrix.hirsuticornis,Macrothrix hirsuticornis,Species,Cladocera/Anomopoda,0.55,Edmondson.1959,Macrothrix hirsuticornis,1,"Macrothrix hirsuticornis (Norman & Brady, 1867)"
Macrothrix.laticornis,Macrothrix laticornis,Species,Cladocera/Anomopoda,0.47,Hébert.2016; CIEE.2012,Macrothrix laticornis,1,"Macrothrix laticornis (Jurine, 1820)"
Macrothrix.rosea,Macrothrix rosea,Species,Cladocera/Anomopoda,0.63,Hébert.2016; CIEE.2012,Macrothrix rosea,1,"Macrothrix rosea (Jurine, 1820)"
Picripleuroxus.denticulatus,Picripleuroxus denticulatus,Species,Cladocera/Anomopoda,0.55,Edmondson.1959,Picripleuroxus denticulatus,1,"Picripleuroxus denticulatus (Birge, 1879)"
Picripleuroxus.striatus,Picripleuroxus striatus,Species,Cladocera/Anomopoda,0.8,Edmondson.1959,Picripleuroxus striatus,1,"Picripleuroxus striatus (Schödler, 1862)"
Pleuroxus,Pleuroxus,Genus,Cladocera/Anomopoda,0.625,Genus mean ,Genus mean,1,"Pleuroxus (Baird, 1843)"
Pleuroxus.aduncus,Pleuroxus aduncus,Species,Cladocera/Anomopoda,0.6,Edmondson.1959,Pleuroxus aduncus,1,"Pleuroxus aduncus (Jurine, 1820)"
Pleuroxus.procurvus,Pleuroxus procurvus,Species,Cladocera/Anomopoda,0.5,Edmondson.1959,Pleuroxus procurvus,1,"Pleuroxus procurvus (Birge, 1879)"
Streblocerus.serricaudatus,Streblocerus serricaudatus,Species,Cladocera/Anomopoda,0.5,Edmondson.1959,Streblocerus serricaudatus,1,"Streblocerus serricaudatus (Fischer, 1849)"
Bosmina.coregoni,Bosmina coregoni,Species,Cladocera/Anomopoda,0.44,Hébert.2016; Barnett.2007,Bosmina longispina,2,"Bosmina (Eubosmina) coregoni (Baird, 1857)"
Bosmina.hagmanni,Bosmina hagmanni,Species,Cladocera/Anomopoda,0.35,Loewen.2016,Bosmina longirostris,2,"Bosmina (Liederobosmina) hagmanni (Stingelin, 1904)"
Bosmina.longirostris,Bosmina longirostris,Species,Cladocera/Anomopoda,0.35,Loewen.2016,Bosmina longirostris,2,"Bosmina (Bosmina) longirostris (Müller, 1785)"
Ceriodaphnia,Ceriodaphnia,Genus,Cladocera/Anomopoda,0.63,Genus mean ,Genus mean,2,"Ceriodaphnia (Dana, 1853)"
Ceriodaphnia.acanthina,Ceriodaphnia acanthina,Species,Cladocera/Anomopoda,0.54,MacLennan.2015,Ceriodaphnia acanthina,2,"Ceriodaphnia acanthina (Ross, 1897)"
Ceriodaphnia.lacustris,Ceriodaphnia lacustris,Species,Cladocera/Anomopoda,0.85,Hébert.2016; Barnett.2007,Ceriodaphnia lacustris,2,"Ceriodaphnia lacustris (Birge, 1893)"
Ceriodaphnia.pulchella,Ceriodaphnia pulchella,Species,Cladocera/Anomopoda,0.55,Hébert.2016; CIEE.2012,Ceriodaphnia pulchella,2,"Ceriodaphnia pulchella (Sars, 1862)"
Ceriodaphnia.quadrangula,Ceriodaphnia quadrangula,Species,Cladocera/Anomopoda,0.55,Loewen.2016,Ceriodaphnia quadrangula,2,"Ceriodaphnia quadrangula (Müller, 1785)"
Ceriodaphnia.reticulata,Ceriodaphnia reticulata,Species,Cladocera/Anomopoda,0.68,MacLennan.2016,Ceriodaphnia reticulata,2,"Ceriodaphnia reticulata (Jurine, 1820)"
Daphnia,Daphnia,Genus,Cladocera/Anomopoda,1.44,Genus mean ,Genus mean,2,"Daphnia (Müller, 1785)"
Daphnia.ambigua,Daphnia ambigua,Species,Cladocera/Anomopoda,0.88,Hébert.2016; CIEE.2012,Daphnia ambigua,2,"Daphnia ambigua (Scourfield, 1947)"
Daphnia.catawba,Daphnia catawba,Species,Cladocera/Anomopoda,1.3,MacLennen.2015,Daphnia catawba,2,"Daphnia catawba (Coker, 1926)"
Daphnia.dentifera,Daphnia dentifera,Species,Cladocera/Anomopoda,1.17,MacLennen.2015,Daphnia dentifera,2,"Daphnia (Daphnia) dentifera (Forbes, 1893)"
Daphnia.galeata,Daphnia galeata,Species,Cladocera/Anomopoda,1.5,Hébert.2016; CIEE.2012,Daphnia galeata-mendotae,2,"Daphnia galeata (Sars, 1863)"
Daphnia.laevis,Daphnia laevis,Species,Cladocera/Anomopoda,1.6,Hébert.2016; CIEE.2012,Daphnia laevis,2,"Daphnia (Daphnia) laevis (Birge, 1879)"
Daphnia.longiremis,Daphnia longiremis,Species,Cladocera/Anomopoda,0.84,Hébert.2016; CIEE.2012,Daphnia longiremis,2,"Daphnia longiremis (Sars, 1861)"
Daphnia.middendorffiana,Daphnia middendorffiana,Species,Cladocera/Anomopoda,2.45,Hébert.2016; CIEE.2012,Daphnia middendorffiana,2,"Daphnia middendorffiana (Fischer, 1851)"
Daphnia.parvula,Daphnia parvula,Species,Cladocera/Anomopoda,1.1,Hébert.2016; CIEE.2012,Daphnia parvula,2,"Daphnia parvula (Fordyce, 1901)"
Daphnia.pulex,Daphnia pulex,Species,Cladocera/Anomopoda,2,MacLennen.2015,Daphnia pulex,2,"Daphnia pulex (Leydig, 1860)"
Daphnia.retrocurva,Daphnia retrocurva,Species,Cladocera/Anomopoda,0.87,Hébert.2016; CIEE.2012,Daphnia retrocurva,2,"Daphnia retrocurva (Forbes, 1882)"
Daphnia.schoedleri,Daphnia schoedleri,Species,Cladocera/Anomopoda,1.93,MacLennen.2015,Daphnia schodleri,2,"Daphnia pulex (Leydig, 1860)"
Daphnia.similis,Daphnia similis,Species,Cladocera/Anomopoda,1.6,MacLennen.2016,Daphnia similis,2,"Daphnia (Ctenodaphnia) similis (Claus, 1876)"
Diaphanosoma.birgei,Diaphanosoma birgei,Species,Cladocera/Ctenopoda,0.97,Loewen.2016,Diaphanosoma birgei,2,"Diaphanosoma birgei (Ko?ínek, 1981)"
Holopedium.gibberum,Holopedium gibberum,Species,Cladocera/Ctenopoda,1.04,Hébert.2016; Barnett.2007,Holopedium gibberum,2,"Holopedium gibberum (Zaddach, 1855)"
Latona.setifera,Latona setifera,Species,Cladocera/Ctenopoda,2.25,Edmondson.1959,Latona setifera,2,"Latona setifera (Müller, 1776)"
Moina.hutchinsoni,Moina hutchinsoni,Species,Cladocera/Anomopoda,1.6,Edmondson.1959,Moina hutchinsoni,2,"Moina hutchinsoni (Brehm, 1937)"
