Metric,Climate,Group,Parameter,Class,Estimate,Est.Error,Q2.5,Q97.5
Species richness,Mean temperature,Elevation,Intercept,36.6-39.3,1.100138,0.14694137,0.8058629,1.378061
Species richness,Mean temperature,Elevation,Intercept,39.3-41.2,1.465449,0.25655088,0.9569472,1.986009
Species richness,Mean temperature,Elevation,Intercept,41.2-43.2,1.362239,0.2304795,0.8730207,1.786291
Species richness,Mean temperature,Elevation,Intercept,43.2-44.6,1.43631,0.18140406,1.0414207,1.760859
Species richness,Mean temperature,Elevation,Intercept,44.6-46.3,1.409151,0.20293987,0.9997379,1.800503
Species richness,Mean temperature,Elevation,Intercept,46.3-48.0,1.036511,0.19941347,0.5932258,1.377273
Species richness,Mean temperature,Elevation,Intercept,48.0-50.0,1.548116,0.07570001,1.3982808,1.696255
Species richness,Mean temperature,Elevation,Intercept,50.0-52.1,1.74072,0.04041363,1.6588879,1.818514
Species richness,Mean temperature,Elevation,Intercept,52.1-54.2,1.78854,0.04771348,1.6955014,1.882912
Species richness,Mean temperature,Elevation,Intercept,54.2-58.1,1.692586,0.11185006,1.4683398,1.910225
Species richness,Mean temperature,Elevation,Intercept,58.1-62.1,1.73356,0.14717747,1.4391075,2.019787
Species richness,Mean temperature,Elevation,Intercept,62.1-66.2,1.763742,0.18182177,1.4118967,2.122397
Species richness,Mean temperature,Elevation,B1,36.6-39.3,14.235597,6.506067,1.877069,27.380737
Species richness,Mean temperature,Elevation,B1,39.3-41.2,8.441679,8.58452,-9.282677,25.457717
Species richness,Mean temperature,Elevation,B1,41.2-43.2,11.604149,8.267291,-3.676025,29.213905
Species richness,Mean temperature,Elevation,B1,43.2-44.6,12.941235,7.560455,-1.018498,28.938724
Species richness,Mean temperature,Elevation,B1,44.6-46.3,10.057545,7.746481,-5.053292,25.66023
Species richness,Mean temperature,Elevation,B1,46.3-48.0,24.64418,8.802962,9.881605,44.565897
Species richness,Mean temperature,Elevation,B1,48.0-50.0,18.929029,4.147604,10.738962,27.084446
Species richness,Mean temperature,Elevation,B1,50.0-52.1,7.872304,1.34592,5.236567,10.50585
Species richness,Mean temperature,Elevation,B1,52.1-54.2,16.47862,1.909017,12.754222,20.212215
Species richness,Mean temperature,Elevation,B1,54.2-58.1,7.722043,5.17201,-2.792017,17.660729
Species richness,Mean temperature,Elevation,B1,58.1-62.1,2.457436,3.961025,-5.815133,9.870836
Species richness,Mean temperature,Elevation,B1,62.1-66.2,3.270592,3.820986,-4.623808,10.452245
Species richness,Mean temperature,Elevation,B2,36.6-39.3,1.729331,4.944316,-7.469029,11.8384749
Species richness,Mean temperature,Elevation,B2,39.3-41.2,-3.0763882,5.390148,-14.174949,7.6125536
Species richness,Mean temperature,Elevation,B2,41.2-43.2,-1.0062333,3.327827,-7.885027,5.4734237
Species richness,Mean temperature,Elevation,B2,43.2-44.6,-3.9383003,3.825057,-12.050251,3.1469445
Species richness,Mean temperature,Elevation,B2,44.6-46.3,-3.5629488,3.966291,-11.702132,4.1549816
Species richness,Mean temperature,Elevation,B2,46.3-48.0,-8.4439804,5.156631,-19.832175,0.2816292
Species richness,Mean temperature,Elevation,B2,48.0-50.0,-3.4579274,2.281099,-7.870695,1.0292052
Species richness,Mean temperature,Elevation,B2,50.0-52.1,-2.1619191,1.452821,-5.000061,0.6502703
Species richness,Mean temperature,Elevation,B2,52.1-54.2,-13.6837409,2.25355,-18.098309,-9.2220281
Species richness,Mean temperature,Elevation,B2,54.2-58.1,-4.8678883,3.911914,-12.985374,2.4697769
Species richness,Mean temperature,Elevation,B2,58.1-62.1,0.4094144,3.168196,-5.636246,6.7376401
Species richness,Mean temperature,Elevation,B2,62.1-66.2,-0.9094271,2.259231,-5.501937,3.4365449
Species richness,Mean temperature,Latitude,Intercept,0-258,1.835928,0.19095703,1.4829993,2.226551
Species richness,Mean temperature,Latitude,Intercept,258-599,1.721622,0.09291572,1.5425728,1.907121
Species richness,Mean temperature,Latitude,Intercept,599-856,1.757619,0.06081175,1.6385033,1.874855
Species richness,Mean temperature,Latitude,Intercept,856-1100,1.788755,0.05184087,1.6866299,1.890979
Species richness,Mean temperature,Latitude,Intercept,1100-1320,1.978742,0.05203291,1.8764709,2.080503
Species richness,Mean temperature,Latitude,Intercept,1320-1500,1.828941,0.05236944,1.7213913,1.928887
Species richness,Mean temperature,Latitude,Intercept,1500-1670,1.863364,0.06953896,1.7286756,1.999145
Species richness,Mean temperature,Latitude,Intercept,1670-1870,1.565086,0.05689039,1.4542845,1.677572
Species richness,Mean temperature,Latitude,Intercept,1870-2090,1.445662,0.05724316,1.3300388,1.556195
Species richness,Mean temperature,Latitude,Intercept,2090-2330,1.449712,0.06398131,1.320161,1.572174
Species richness,Mean temperature,Latitude,Intercept,2330-2780,1.32698,0.12141427,1.0712463,1.549079
Species richness,Mean temperature,Latitude,Intercept,2780-3740,1.27099,0.15187498,0.9453884,1.552982
Species richness,Mean temperature,Latitude,B1,0-258,3.031727,5.15809,-6.8770073,13.7983296
Species richness,Mean temperature,Latitude,B1,258-599,4.4132929,1.427924,1.6647095,7.3072662
Species richness,Mean temperature,Latitude,B1,599-856,0.5967692,1.565921,-2.6030973,3.6399949
Species richness,Mean temperature,Latitude,B1,856-1100,1.1868079,1.715849,-2.143496,4.6184434
Species richness,Mean temperature,Latitude,B1,1100-1320,-4.2468704,2.13293,-8.508331,-0.1009926
Species richness,Mean temperature,Latitude,B1,1320-1500,-0.7889029,2.140142,-4.9230863,3.5314253
Species richness,Mean temperature,Latitude,B1,1500-1670,-7.7698356,2.767757,-13.0665639,-2.3106218
Species richness,Mean temperature,Latitude,B1,1670-1870,3.9409833,2.069761,-0.1323637,8.0627429
Species richness,Mean temperature,Latitude,B1,1870-2090,2.690353,1.983137,-1.3069648,6.5135948
Species richness,Mean temperature,Latitude,B1,2090-2330,5.9779035,2.005684,2.0125206,9.8257752
Species richness,Mean temperature,Latitude,B1,2330-2780,6.2879504,3.378846,-0.751432,12.3810817
Species richness,Mean temperature,Latitude,B1,2780-3740,7.4570046,4.997087,-1.6430795,18.1059147
Species richness,Mean temperature,Latitude,B2,0-258,2.350715,2.550718,-2.8090919,7.2161264
Species richness,Mean temperature,Latitude,B2,258-599,3.24869,1.404317,0.4988797,5.9722853
Species richness,Mean temperature,Latitude,B2,599-856,-3.903731,1.790402,-7.4399038,-0.4259887
Species richness,Mean temperature,Latitude,B2,856-1100,-2.841504,1.625449,-6.0715185,0.2627022
Species richness,Mean temperature,Latitude,B2,1100-1320,-6.862495,1.692608,-10.2643578,-3.6146038
Species richness,Mean temperature,Latitude,B2,1320-1500,-7.608035,2.257726,-12.2951814,-3.4597541
Species richness,Mean temperature,Latitude,B2,1500-1670,8.444934,3.652571,1.1921922,15.5439691
Species richness,Mean temperature,Latitude,B2,1670-1870,7.170815,3.056403,1.2859741,13.3561195
Species richness,Mean temperature,Latitude,B2,1870-2090,8.543874,2.760549,3.2107539,13.9722437
Species richness,Mean temperature,Latitude,B2,2090-2330,6.174244,3.112022,0.1301132,12.2906762
Species richness,Mean temperature,Latitude,B2,2330-2780,3.264776,5.033764,-6.700497,13.187853
Species richness,Mean temperature,Latitude,B2,2780-3740,10.700099,5.926078,-0.8031223,22.8104075
Species richness,Temperature difference,Elevation,Intercept,36.6-39.3,1.512637,0.34863095,0.7902391,2.170893
Species richness,Temperature difference,Elevation,Intercept,39.3-41.2,1.703748,0.32142646,1.0640922,2.326797
Species richness,Temperature difference,Elevation,Intercept,41.2-43.2,1.805871,0.30152405,1.1865058,2.379328
Species richness,Temperature difference,Elevation,Intercept,43.2-44.6,1.72654,0.33362667,1.0566959,2.393814
Species richness,Temperature difference,Elevation,Intercept,44.6-46.3,1.716501,0.3201088,1.0812983,2.372882
Species richness,Temperature difference,Elevation,Intercept,46.3-48.0,1.575209,0.29245191,0.9442365,2.108271
Species richness,Temperature difference,Elevation,Intercept,48.0-50.0,2.400706,0.0867822,2.2305935,2.569451
Species richness,Temperature difference,Elevation,Intercept,50.0-52.1,2.072128,0.07453103,1.9247621,2.215276
Species richness,Temperature difference,Elevation,Intercept,52.1-54.2,1.77869,0.0528249,1.6751062,1.88113
Species richness,Temperature difference,Elevation,Intercept,54.2-58.1,1.716184,0.16527123,1.3788394,2.041415
Species richness,Temperature difference,Elevation,Intercept,58.1-62.1,1.564849,0.17989128,1.1870985,1.91678
Species richness,Temperature difference,Elevation,Intercept,62.1-66.2,1.492196,0.22120846,1.0414713,1.915779
Species richness,Temperature difference,Elevation,B1,36.6-39.3,19.9452246,22.586067,-24.879834,64.803608
Species richness,Temperature difference,Elevation,B1,39.3-41.2,3.0860634,20.206936,-38.481806,42.535458
Species richness,Temperature difference,Elevation,B1,41.2-43.2,10.0864174,19.060069,-30.365725,45.874858
Species richness,Temperature difference,Elevation,B1,43.2-44.6,-8.4238904,21.304915,-50.899711,32.987303
Species richness,Temperature difference,Elevation,B1,44.6-46.3,-1.9372142,20.013004,-42.303457,37.034502
Species richness,Temperature difference,Elevation,B1,46.3-48.0,4.4168042,19.216859,-35.853358,39.738887
Species richness,Temperature difference,Elevation,B1,48.0-50.0,54.8278403,7.185256,40.860553,69.124507
Species richness,Temperature difference,Elevation,B1,50.0-52.1,56.5650525,7.991318,41.113618,72.201065
Species richness,Temperature difference,Elevation,B1,52.1-54.2,41.016199,5.774744,29.702093,52.566142
Species richness,Temperature difference,Elevation,B1,54.2-58.1,6.8289819,10.173251,-13.439062,27.044085
Species richness,Temperature difference,Elevation,B1,58.1-62.1,1.6616701,3.657758,-5.547278,9.285534
Species richness,Temperature difference,Elevation,B1,62.1-66.2,-0.6527686,3.916898,-8.593463,7.077422
Species richness,Temperature difference,Elevation,B2,36.6-39.3,15.6795652,19.50315,-21.898901,54.669319
Species richness,Temperature difference,Elevation,B2,39.3-41.2,0.9500114,17.178592,-33.579619,34.578542
Species richness,Temperature difference,Elevation,B2,41.2-43.2,10.9613439,11.325664,-12.146044,33.250096
Species richness,Temperature difference,Elevation,B2,43.2-44.6,-15.4050097,15.461656,-46.811861,13.719052
Species richness,Temperature difference,Elevation,B2,44.6-46.3,-7.6273369,14.017748,-36.167102,18.820573
Species richness,Temperature difference,Elevation,B2,46.3-48.0,3.6173029,13.332763,-23.571965,29.002597
Species richness,Temperature difference,Elevation,B2,48.0-50.0,38.8287213,5.857813,27.458411,50.316937
Species richness,Temperature difference,Elevation,B2,50.0-52.1,52.4292311,6.804695,39.154835,65.405784
Species richness,Temperature difference,Elevation,B2,52.1-54.2,29.8487891,4.413815,21.102052,38.430603
Species richness,Temperature difference,Elevation,B2,54.2-58.1,1.4699154,11.105719,-20.723391,23.374201
Species richness,Temperature difference,Elevation,B2,58.1-62.1,0.2810745,2.726981,-5.122137,5.712317
Species richness,Temperature difference,Elevation,B2,62.1-66.2,1.2038763,2.498528,-3.650544,6.202402
Species richness,Temperature difference,Latitude,Intercept,0-258,2.106114,0.11145443,1.8839994,2.31802
Species richness,Temperature difference,Latitude,Intercept,258-599,2.037458,0.0782837,1.8851741,2.191365
Species richness,Temperature difference,Latitude,Intercept,599-856,1.723386,0.09774394,1.5179922,1.905399
Species richness,Temperature difference,Latitude,Intercept,856-1100,1.790619,0.05102925,1.6913194,1.889911
